Year,Month,DayofMonth,DayOfWeek,DepTime,CRSDepTime,ArrTime,CRSArrTime,UniqueCarrier,FlightNum,TailNum,ActualElapsedTime,CRSElapsedTime,AirTime,ArrDelay,DepDelay,Origin,Dest,Distance,TaxiIn,TaxiOut,Cancelled,CancellationCode,Diverted,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay,IsArrDelayed,IsDepDelayed
1987,12,19,6,1330,1305,1452,1445,AS,84,NA,82,100,NA,7,25,PDX,SFO,550,NA,NA,0,NA,0,NA,NA,NA,NA,NA,YES,YES
1987,12,20,7,1330,1305,1502,1445,AS,84,NA,92,100,NA,17,25,PDX,SFO,550,NA,NA,0,NA,0,NA,NA,NA,NA,NA,YES,YES
1987,12,21,1,1326,1305,1514,1445,AS,84,NA,108,100,NA,29,21,PDX,SFO,550,NA,NA,0,NA,0,NA,NA,NA,NA,NA,YES,YES
1987,12,22,2,1314,1305,1447,1445,AS,84,NA,93,100,NA,2,9,PDX,SFO,550,NA,NA,0,NA,0,NA,NA,NA,NA,NA,YES,YES
1987,12,23,3,1336,1305,1455,1445,AS,84,NA,79,100,NA,10,31,PDX,SFO,550,NA,NA,0,NA,0,NA,NA,NA,NA,NA,YES,YES
1987,12,24,4,1332,1305,1454,1445,AS,84,NA,82,100,NA,9,27,PDX,SFO,550,NA,NA,0,NA,0,NA,NA,NA,NA,NA,YES,YES
1987,12,26,6,1305,1305,1443,1445,AS,84,NA,98,100,NA,-2,0,PDX,SFO,550,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NO,NO
1987,12,27,7,1314,1305,1506,1445,AS,84,NA,112,100,NA,21,9,PDX,SFO,550,NA,NA,0,NA,0,NA,NA,NA,NA,NA,YES,YES
1987,12,29,2,1410,1305,1543,1445,AS,84,NA,93,100,NA,58,65,PDX,SFO,550,NA,NA,0,NA,0,NA,NA,NA,NA,NA,YES,YES
1987,12,30,3,1315,1305,1443,1445,AS,84,NA,88,100,NA,-2,10,PDX,SFO,550,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NO,YES
